mtu_kerry	ucc
mtu_kerry	ucddublin
ul	mtu_kerry
mtu_kerry	ul
waterfordit	mtu_kerry
mtu_kerry	waterfordit
mtu_kerry	wearetudublin
nuigalway	qubelfast
rcsi_irl	nuigalway
nuigalway	rcsi_irl
tcddublin	nuigalway
nuigalway	tcddublin
tudublin_bn	nuigalway
nuigalway	tudublin_bn
ucc	nuigalway
nuigalway	ucc
nuigalway	ucddublin
ul	nuigalway
nuigalway	ul
nuigalway	uniofoxford
waterfordit	nuigalway
nuigalway	waterfordit
wearetudublin	nuigalway
nuigalway	wearetudublin
swanseauni	officialuom
unibirmingham	officialuom
uniofeastanglia	officialuom
uniofnottingham	officialuom
uniofoxford	officialuom
officialuom	uniofoxford
uofglasgow	officialuom
rcsi_irl	qubelfast
sheffielduni	qubelfast
qubelfast	sheffielduni
tcddublin	qubelfast
qubelfast	tcddublin
ucc	qubelfast
ucddublin	qubelfast
ul	qubelfast
unibirmingham	qubelfast
qubelfast	unibirmingham
uniofeastanglia	qubelfast
uniofnottingham	qubelfast
qubelfast	uniofnottingham
qubelfast	uniofoxford
universityleeds	qubelfast
qubelfast	universityleeds
uofglasgow	qubelfast
qubelfast	uofglasgow
waterfordit	qubelfast
wearetudublin	qubelfast
tcddublin	rcsi_irl
rcsi_irl	tcddublin
ucc	rcsi_irl
rcsi_irl	ucc
ucddublin	rcsi_irl
rcsi_irl	ucddublin
ul	rcsi_irl
rcsi_irl	ul
rcsi_irl	uniofoxford
rcsi_irl	universityleeds
rcsi_irl	waterfordit
rcsi_irl	wearetudublin
unibirmingham	sheffielduni
sheffielduni	unibirmingham
uniofeastanglia	sheffielduni
sheffielduni	uniofeastanglia
uniofnottingham	sheffielduni
sheffielduni	uniofnottingham
uniofoxford	sheffielduni
sheffielduni	uniofoxford
universityleeds	sheffielduni
sheffielduni	universityleeds
uofglasgow	sheffielduni
sheffielduni	uofglasgow
uniofeastanglia	swanseauni
swanseauni	uniofeastanglia
uniofnottingham	swanseauni
uniofoxford	swanseauni
swanseauni	uniofoxford
swanseauni	universityleeds
uofglasgow	swanseauni
ucc	tcddublin
tcddublin	ucc
ucddublin	tcddublin
tcddublin	ucddublin
ul	tcddublin
tcddublin	ul
unibirmingham	tcddublin
tcddublin	unibirmingham
uniofoxford	tcddublin
tcddublin	uniofoxford
waterfordit	tcddublin
tcddublin	waterfordit
wearetudublin	tcddublin
tcddublin	wearetudublin
ucc	tudublin_bn
tudublin_bn	ucc
tudublin_bn	ucddublin
tudublin_bn	ul
waterfordit	tudublin_bn
tudublin_bn	waterfordit
wearetudublin	tudublin_bn
tudublin_bn	wearetudublin
ucc	ucddublin
ul	ucc
ucc	ul
ucc	unibirmingham
ucc	uniofnottingham
ucc	uniofoxford
waterfordit	ucc
ucc	waterfordit
wearetudublin	ucc
ucc	wearetudublin
ul	ucddublin
ucddublin	uofglasgow
waterfordit	ucddublin
wearetudublin	ucddublin
waterfordit	ul
ul	waterfordit
wearetudublin	ul
ul	wearetudublin
uniofeastanglia	unibirmingham
unibirmingham	uniofeastanglia
uniofnottingham	unibirmingham
unibirmingham	uniofnottingham
uniofoxford	unibirmingham
unibirmingham	uniofoxford
universityleeds	unibirmingham
unibirmingham	universityleeds
uofglasgow	unibirmingham
unibirmingham	uofglasgow
uniofnottingham	uniofeastanglia
uniofeastanglia	uniofnottingham
uniofeastanglia	uniofoxford
uniofeastanglia	universityleeds
uniofeastanglia	uofglasgow
uniofoxford	uniofnottingham
uniofnottingham	uniofoxford
universityleeds	uniofnottingham
uniofnottingham	universityleeds
uofglasgow	uniofnottingham
uniofnottingham	uofglasgow
universityleeds	uniofoxford
uniofoxford	universityleeds
uofglasgow	uniofoxford
uniofoxford	uofglasgow
waterfordit	uniofoxford
uofglasgow	universityleeds
universityleeds	uofglasgow
waterfordit	wearetudublin
